date_creat,titre,titre_court,objet,adrs_libcommune,adrg_libvoie,adrg_codepostal,siteweb
2014-12-18,ADIMEC (ASSOCIATION POUR LE DEVELOPPEMENT ET L'INTEGRATION DES MEDECINES ENERGETIQUES ET COMPLEMENTAIRES),ADIMEC,"pouvoir favoriser la découverte, le développement, l'expansion, la valorisation, la reconnaissance et l'intégration des médecines complémentaires telles que la psychologie énergétique clinique (EFT, hypnose, sophrologie, kinésiologie, logosynthèse, matrix reimprinting, quick remap, médecine chinoise, ré encodage biologique, épigénétique) mais aussi les thérapies par l'art (théâtre, peinture, chant) auprès d'un vaste publique ciblant les enfants des le plus jeune âge, les adolescents et les adultes (personnes physiques ou morales en individuel ou groupe) par l'organisation d'évènements réguliers et ponctuels (conférences, soirée débats, ateliers, formations, enseignements, cabinets publiques) ;  l'association cherche également à se rapprocher de toutes structures publiques ou privées (hôpitaux, cliniques, écoles, organismes d'état, centres de formations, entreprises, associations, fédérations) et à s'investir dans une fructueuse collaboration par l'élaboration commune de projets et d'interventions diverses bénévoles et/ou rémunérées visant notamment l'amélioration des prises en charge dans la gestion de crises, de violences, de traumas et de toutes les émotions inhérentes à ces divers cas de figure",La Rivière-de-Corps,50  rue Emile Buck,10440,www.celinelanecoacheft.com
2022-10-06,HAPCLOUD,HEBERGEMENT DE SERVICE GRATUIT,"hapcloud est une association qui a été fondée en 2022 qui à pour but d'offrir des machines virtuelles par exemple des sites web, des serveurs de jeux comme Minecraft, Gta 5 ; Nous avons nous-mêmes des machines chez d'autre hébergeurs comme ovh qui propose des offres comme nous mais moins intéressante pour le grand public ; Notre site web et notre machine ( Dédier ) sont entièrement protégés contre tout hack possible ; Nous avons hébergé plus de 50 Client qui sont entièrement content de nos serveur ;",Lavalette,15  RUE DU CENTRE,11290.0,https://hapcloud.fr/
2022-08-03,LES 108 MOUVEMENTS,LES 108 MOUVEMENTS,"organiser, développer et promouvoir la pratique et de l'enseignement du taichi chuan ainsi que tout autre art martial et énergétique chinois ; organiser notamment des cours, stages, conférences, voyages ; 
l'association peut utiliser tout moyen légal pour soutenir ces buts ; 
elle s'interdit toute discrimination dans son organisation et dans sa vie associative",Balaguier-d'Olt,740  ROUTE DU CAUSSE DE VERN,12260,https://www.les108mouvements.fr
2002-10-15,CENTRE D' ÉTUDES DE PRATIQUES INTERNES (CEPI),CENTRE D' ETUDES DE PRATIQUES INTERNE,promotion de l' étude de la recherche et des applications dans le domaine des pratiques internes chinoises,Meyrargues,577 CHEMIN DE LA LOUBE,13650,https://taiji-cepi.com/
2012-12-12,ART DE LA VITALITÉ,ART DE LA VITALITE,"information et la mise en pratique de notions d'équilibre de santé pour tous, dans un cadre de rencontres et d'échanges ; en faisant appel à des savoirs ancestraux et traditionnels de toutes cultures, tels que l'hygiénisme, la médecine chinoise, indienne, et du monde ; peuvent être proposés au sein de l'association : les pratiques corporelles de santé inhérentes à ces médecines du monde tel que le yoga, le qi gong ; l'enseignement d'une alimentation saine ; l'enseignement de l'utilité et de l'usage des plantes médicinales communes ; l'enseignement et la pratique de tout art thérapeutique tels que la musique, le chant, la danse, les massages traditionnels, les techniques réflexes, l'ostéopathie, la kinésiologie, la sophrologie, la sculpture, la peinture, le théâtre, la psychologie, la philosophie, l'écriture, l'apprentissage de langue étrangères ; l'organisation annuelle d'un voyage équitable",Beaurecueil,6512 ROUTE DE ST ANTONIN,13100,www.artdelavitalité.com
2013-07-25,ÉCOLE D'ARTS MARTIAUX QWANKIDO PAYS D'AIX-ECOLE LUYEN KHI (EAM QKD AIX).,EAM QKD AIX,"club sportif, philosophique et culturel qui a pour objet/but essentiel le développement physique et intellectuel de ses pratiquants/adhérents par le développement de la méthode qwankido, ce programme se compose des techniques qwankido (techniques zoomorphiques, boxe libre, enchaînements codifiés, casses, ciseaux volants), COVODAO (travail des armes traditionnelles chinoises et vietnamiennes), tam khi the (gymnastique psycho-corporelle de santé et bien être, travail de l'énergie interne souple ou dure), acrobaties martiales, cet art martial consiste donc en une synthèse originale des techniques chinoises et vietnamiennes déposée et représentée par Maître Pham Xuan Tong, le qwankido s'adresse à tout type de public en suivant un enseignement riche et varié dispensé par des enseignants qualifiés, cet art martial propose une approche loisir ou de compétition, la fédération accueille un pôle France et des compétitions internationales",Aix-en-Provence,126  cours GAMBETTA,13100,qwankido-aix.com
2013-10-20,YNERGY,YNERGY,"promouvoir les arts énergétiques et martiaux chinois dans leurs dimensions sportive, culturelle et prophylactique",Fare-les-Oliviers,143  ROUTE DES OLIVIERS,13580,www.YnergY.fr
2015-07-22,DE LA TERRE A LA MER,DE LA TERRE A LA MER,"explorer de nouvelles façons de vivre, plus en harmonie avec la Terre par différentes voies pour les petits et les grands ; nous avons pour but de créer une dynamique, un concept qui pourra être reproductible par d'autres groupes toujours dans une notion de partage d'expériences et d'échanges humains, l'objectif final étant de créer un éco-village pouvant accueillir toutes les activités de l'association qui sont : ateliers (créatifs, pratiques, botaniques, développement personnel, spirituel) ; conférences (permaculture, théâtre, naturopathie, médecine chinoise, chamanisme) ; journées à thème (grands jeux, expositions, ateliers, conférences) ;  soirées (soirées à thème, soirées jeux, dîner conférence) ; stages et séminaires ; voyages et visites",Lambesc,8 BIS route d'Avignon,13410,http://www.delaterrealamer.com
2017-05-02,LA VOIE DU LOUP,LA VOIE DU LOUP,"enseigner le kung-fu sino-vietnamien style Yangkido
Enseigner les arts martiaux externes et internes
Enseigner les disciplines de bien-être et de relaxation à travers le loisir",Aix-en-Provence,21  AVENUE PIERRE PUGET,13100,http://www.shengzhiqidao.org
2021-08-15,GRAINE DE BIEN-ÊTRE,GBE,"uvrer pour le bien-être en respect avec la nature par : des soins proposant des bilans énergétiques basés sur la médecine traditionnelle chinoise, des harmonisations énergétiques, des massages tuina, l'utilisation de moxa et de ventouses, de l'auriculothérapie, de l'accupression, de la réflexologie, de techniques énergétiques manuelles (micro-kiné, ostéo-énergétique) , de l'EFT (Emotional Freedom Technic), de l'analyse systémique, de process communication, du yin yoga, du yoga, de la méditation, des techniques de respiration, des expositions au chaud et au froid suivant le principe de l'hormèse, de l'hydrothérapie, de la naturopathie, des conseils en nutrition et en hygiène de vie, des conseils en renforcement du mental et/ou du corps, de la posturologie, des conseils sur le jeûne et sur la crusine et des conseils en aromathérapie et en phytothérapie ; ces pratiques auront lieu lors de séances régulières et/ou ponctuelles, individuelles et/ou en groupe, auprès de particuliers et/ou d'entreprises, ainsi que l'organisation d'activités diverses telles que : des ateliers de formation, des ateliers de crusine et/ou de préparations naturelles à visée curative, des ateliers de fabrication d'objets relatifs au massage, au yoga et/ou à la méditation, la fabrication et la vente de produits et services relatifs au massage, au yoga et/ou à la méditation ;",Salon-de-Provence,74  PLACE DE L ABBE AUDIER,13300,https://grainedebienetre.sitew.fr/
2015-07-15,"FÉDÉRATION EUROPÉENNE DES MÉDECINES CHINOISE ET
ÉNERGÉTIQUES",FEMCE,"promouvoir la médecine chinoise, les médecines énergétiques et leurs dérivés en Europe, regrouper les praticiens adhérents autour d'une déontologie commune",Puimisson,12 RUE DE L'ESTACARÈDE,34480,https://www.femce.eu/
2018-09-11,VIET VO DAO - KHÔNG LONG,VIET VO DAO - KHÔNG LONG,promouvoir la pratique des arts martiaux traditionnels sino-vietnamiens,Châteaurenard,1605  BOULEVARD JOLIOT CURIE,13160,http://www.khonglong.com
